DATA OF SHELL PLATING WITH RESPECT TO GLOBAL STRENGTH (INERTIA AROUND CENTROID) Group 14; Version 1.0, Mean shell thickness [mm],0
X [m],OUTLINE LENGTH [m],CROSS SECTION AREA OF SHELL PLATING [m2],CENTROID_X[m],CENTROID_Y[m],CENTROID_Z[m],INERTIA_X[m4],INERTIA_Y[m4],INERTIA_Z[m4],Z_Keel[m],Z_DECK[m],
0,0,0,0, 0, 0,0, 0, 0,0,8.9
0,0,0,0, 0, 0,0, 0, 0,0,8.9
0,0,0,0, 0, 0,0, 0, 0,0,8.9
0,0,0,0, 0, 0,0, 0, 0,0,8.9
0,0,0,0, 0, 0,0, 0, 0,0,8.9
0,0,0,0, 0, 0,0, 0, 0,0,8.9
0,0,0,0, 0, 0,0, 0, 0,0,8.9
0,0,0,0, 0, 0,0, 0, 0,0,8.9
0,0,0,0, 0, 0,0, 0, 0,0,8.9
0,0,0,0, 0, 0,0, 0, 0,0,8.9
0,0,0,0, 0, 0,0, 0, 0,0,8.9
0,0,0,0, 0, 0,0, 0, 0,0,8.9
0,0,0,0, 0, 0,0, 0, 0,0,8.9
0,0,0,0, 0, 0,0, 0, 0,0,8.9
0,0,0,0, 0, 0,0, 0, 0,0,8.9
0,0,0,0, 0, 0,0, 0, 0,0,8.9
0,0,0,0, 0, 0,0, 0, 0,0,8.9
0,0,0,0, 0, 0,0, 0, 0,0,8.9
0,0,0,0, 0, 0,0, 0, 0,0,8.9
0,0,0,0, 0, 0,0, 0, 0,0,8.9
0,0,0,0, 0, 0,0, 0, 0,0,8.9
0,0,0,0, 0, 0,0, 0, 0,0,8.9
